Fragment Size,Count,Range,Group,BAM File
205,46480,200-500,Normal,H7-plasma.bam
90,44353,100-200,Normal,H7-plasma.bam
93,43210,100-200,Normal,H7-plasma.bam
206,43157,200-500,Normal,H7-plasma.bam
83,43050,100-200,Normal,H7-plasma.bam
99,42136,100-200,Normal,H7-plasma.bam
207,40618,200-500,Normal,H7-plasma.bam
89,40606,100-200,Normal,H7-plasma.bam
84,40080,100-200,Normal,H7-plasma.bam
94,37724,100-200,Normal,H7-plasma.bam
85,37716,100-200,Normal,H7-plasma.bam
208,37611,200-500,Normal,H7-plasma.bam
98,37420,100-200,Normal,H7-plasma.bam
86,36943,100-200,Normal,H7-plasma.bam
96,36416,100-200,Normal,H7-plasma.bam
88,36170,100-200,Normal,H7-plasma.bam
97,35453,100-200,Normal,H7-plasma.bam
87,35147,100-200,Normal,H7-plasma.bam
95,35142,100-200,Normal,H7-plasma.bam
209,33749,200-500,Normal,H7-plasma.bam
210,31639,200-500,Normal,H7-plasma.bam
211,28961,200-500,Normal,H7-plasma.bam
212,26764,200-500,Normal,H7-plasma.bam
213,24462,200-500,Normal,H7-plasma.bam
214,21488,200-500,Normal,H7-plasma.bam
215,19554,200-500,Normal,H7-plasma.bam
216,17599,200-500,Normal,H7-plasma.bam
217,16520,200-500,Normal,H7-plasma.bam
218,14878,200-500,Normal,H7-plasma.bam
219,13648,200-500,Normal,H7-plasma.bam
220,12404,200-500,Normal,H7-plasma.bam
221,11444,200-500,Normal,H7-plasma.bam
222,10344,200-500,Normal,H7-plasma.bam
223,9356,200-500,Normal,H7-plasma.bam
224,8189,200-500,Normal,H7-plasma.bam
225,7546,200-500,Normal,H7-plasma.bam
226,7029,200-500,Normal,H7-plasma.bam
227,6442,200-500,Normal,H7-plasma.bam
228,5745,200-500,Normal,H7-plasma.bam
229,5284,200-500,Normal,H7-plasma.bam
230,5048,200-500,Normal,H7-plasma.bam
231,4843,200-500,Normal,H7-plasma.bam
232,4182,200-500,Normal,H7-plasma.bam
233,3798,200-500,Normal,H7-plasma.bam
234,3505,200-500,Normal,H7-plasma.bam
235,3150,200-500,Normal,H7-plasma.bam
236,2777,200-500,Normal,H7-plasma.bam
237,2599,200-500,Normal,H7-plasma.bam
238,2471,200-500,Normal,H7-plasma.bam
240,2197,200-500,Normal,H7-plasma.bam
239,2166,200-500,Normal,H7-plasma.bam
242,2022,200-500,Normal,H7-plasma.bam
241,2020,200-500,Normal,H7-plasma.bam
243,1768,200-500,Normal,H7-plasma.bam
245,1658,200-500,Normal,H7-plasma.bam
244,1644,200-500,Normal,H7-plasma.bam
