Fragment Size,Count,Range,Group,BAM File
34447,1,>1000,Normal,H7-plasma.bam
14283,1,>1000,Normal,H7-plasma.bam
4930685,1,>1000,Normal,H7-plasma.bam
4930689,1,>1000,Normal,H7-plasma.bam
14288,1,>1000,Normal,H7-plasma.bam
14290,1,>1000,Normal,H7-plasma.bam
4959240,1,>1000,Normal,H7-plasma.bam
91313,1,>1000,Normal,H7-plasma.bam
88156,1,>1000,Normal,H7-plasma.bam
19920,1,>1000,Normal,H7-plasma.bam
19966,1,>1000,Normal,H7-plasma.bam
87576,1,>1000,Normal,H7-plasma.bam
13675,1,>1000,Normal,H7-plasma.bam
50158,1,>1000,Normal,H7-plasma.bam
38605,1,>1000,Normal,H7-plasma.bam
38736,1,>1000,Normal,H7-plasma.bam
50038,1,>1000,Normal,H7-plasma.bam
50010,1,>1000,Normal,H7-plasma.bam
49994,1,>1000,Normal,H7-plasma.bam
4888136,1,>1000,Normal,H7-plasma.bam
49983,1,>1000,Normal,H7-plasma.bam
4924379,1,>1000,Normal,H7-plasma.bam
4893574,1,>1000,Normal,H7-plasma.bam
4953398,1,>1000,Normal,H7-plasma.bam
4903179,1,>1000,Normal,H7-plasma.bam
4967997,1,>1000,Normal,H7-plasma.bam
48493,1,>1000,Normal,H7-plasma.bam
8698,1,>1000,Normal,H7-plasma.bam
4943776,1,>1000,Normal,H7-plasma.bam
4943769,1,>1000,Normal,H7-plasma.bam
4943584,1,>1000,Normal,H7-plasma.bam
50207,1,>1000,Normal,H7-plasma.bam
50213,1,>1000,Normal,H7-plasma.bam
4943069,1,>1000,Normal,H7-plasma.bam
4932100,1,>1000,Normal,H7-plasma.bam
4932244,1,>1000,Normal,H7-plasma.bam
79484,1,>1000,Normal,H7-plasma.bam
4943564,1,>1000,Normal,H7-plasma.bam
20303,1,>1000,Normal,H7-plasma.bam
8697,1,>1000,Normal,H7-plasma.bam
8675,1,>1000,Normal,H7-plasma.bam
8700,1,>1000,Normal,H7-plasma.bam
4957891,1,>1000,Normal,H7-plasma.bam
4948127,1,>1000,Normal,H7-plasma.bam
10389,1,>1000,Normal,H7-plasma.bam
10517,1,>1000,Normal,H7-plasma.bam
4942128,1,>1000,Normal,H7-plasma.bam
16256,1,>1000,Normal,H7-plasma.bam
8080,1,>1000,Normal,H7-plasma.bam
7944,1,>1000,Normal,H7-plasma.bam
4931858,1,>1000,Normal,H7-plasma.bam
4967716,1,>1000,Normal,H7-plasma.bam
4967902,1,>1000,Normal,H7-plasma.bam
4932049,1,>1000,Normal,H7-plasma.bam
4929023,1,>1000,Normal,H7-plasma.bam
64554,1,>1000,Normal,H7-plasma.bam
4929131,1,>1000,Normal,H7-plasma.bam
87717,1,>1000,Normal,H7-plasma.bam
75929,1,>1000,Normal,H7-plasma.bam
76093,1,>1000,Normal,H7-plasma.bam
4971470,1,>1000,Normal,H7-plasma.bam
97714,1,>1000,Normal,H7-plasma.bam
4967109,1,>1000,Normal,H7-plasma.bam
4967261,1,>1000,Normal,H7-plasma.bam
136838,1,>1000,Normal,H7-plasma.bam
4981895,1,>1000,Normal,H7-plasma.bam
4994318,1,>1000,Normal,H7-plasma.bam
5536,1,>1000,Normal,H7-plasma.bam
4971158,1,>1000,Normal,H7-plasma.bam
4971269,1,>1000,Normal,H7-plasma.bam
4997274,1,>1000,Normal,H7-plasma.bam
4931361,1,>1000,Normal,H7-plasma.bam
64694,1,>1000,Normal,H7-plasma.bam
19005,1,>1000,Normal,H7-plasma.bam
4965897,1,>1000,Normal,H7-plasma.bam
15870,1,>1000,Normal,H7-plasma.bam
18783,1,>1000,Normal,H7-plasma.bam
15917,1,>1000,Normal,H7-plasma.bam
15760,1,>1000,Normal,H7-plasma.bam
112756,1,>1000,Normal,H7-plasma.bam
10934,1,>1000,Normal,H7-plasma.bam
10775,1,>1000,Normal,H7-plasma.bam
4909378,1,>1000,Normal,H7-plasma.bam
4909520,1,>1000,Normal,H7-plasma.bam
4990938,1,>1000,Normal,H7-plasma.bam
4991088,1,>1000,Normal,H7-plasma.bam
99407,1,>1000,Normal,H7-plasma.bam
4924480,1,>1000,Normal,H7-plasma.bam
38233,1,>1000,Normal,H7-plasma.bam
113462,1,>1000,Normal,H7-plasma.bam
113605,1,>1000,Normal,H7-plasma.bam
15642,1,>1000,Normal,H7-plasma.bam
13141,1,>1000,Normal,H7-plasma.bam
5535,1,>1000,Normal,H7-plasma.bam
5663,1,>1000,Normal,H7-plasma.bam
84500,1,>1000,Normal,H7-plasma.bam
105873,1,>1000,Normal,H7-plasma.bam
4962591,1,>1000,Normal,H7-plasma.bam
5001245,1,>1000,Normal,H7-plasma.bam
4981198,1,>1000,Normal,H7-plasma.bam
4981299,1,>1000,Normal,H7-plasma.bam
829,1,500-1000,Normal,H7-plasma.bam
687,1,500-1000,Normal,H7-plasma.bam
38098,1,>1000,Normal,H7-plasma.bam
17271,1,>1000,Normal,H7-plasma.bam
17752,1,>1000,Normal,H7-plasma.bam
10842,1,>1000,Normal,H7-plasma.bam
18561,1,>1000,Normal,H7-plasma.bam
4873956,1,>1000,Normal,H7-plasma.bam
4843750,1,>1000,Normal,H7-plasma.bam
4843757,1,>1000,Normal,H7-plasma.bam
4843758,1,>1000,Normal,H7-plasma.bam
4873135,1,>1000,Normal,H7-plasma.bam
4853858,1,>1000,Normal,H7-plasma.bam
4853850,1,>1000,Normal,H7-plasma.bam
4853842,1,>1000,Normal,H7-plasma.bam
4853864,1,>1000,Normal,H7-plasma.bam
4090,1,>1000,Normal,H7-plasma.bam
50342,1,>1000,Normal,H7-plasma.bam
99123,1,>1000,Normal,H7-plasma.bam
99148,1,>1000,Normal,H7-plasma.bam
99113,1,>1000,Normal,H7-plasma.bam
99118,1,>1000,Normal,H7-plasma.bam
4898159,1,>1000,Normal,H7-plasma.bam
4898165,1,>1000,Normal,H7-plasma.bam
4904613,1,>1000,Normal,H7-plasma.bam
84729,1,>1000,Normal,H7-plasma.bam
84612,1,>1000,Normal,H7-plasma.bam
24792,1,>1000,Normal,H7-plasma.bam
87609,1,>1000,Normal,H7-plasma.bam
71377,1,>1000,Normal,H7-plasma.bam
97603,1,>1000,Normal,H7-plasma.bam
648,1,500-1000,Normal,H7-plasma.bam
4912945,1,>1000,Normal,H7-plasma.bam
9985,1,>1000,Normal,H7-plasma.bam
6644,1,>1000,Normal,H7-plasma.bam
6467,1,>1000,Normal,H7-plasma.bam
6465,1,>1000,Normal,H7-plasma.bam
5388,1,>1000,Normal,H7-plasma.bam
5281,1,>1000,Normal,H7-plasma.bam
72869,1,>1000,Normal,H7-plasma.bam
72888,1,>1000,Normal,H7-plasma.bam
72903,1,>1000,Normal,H7-plasma.bam
72883,1,>1000,Normal,H7-plasma.bam
72884,1,>1000,Normal,H7-plasma.bam
72881,1,>1000,Normal,H7-plasma.bam
72882,1,>1000,Normal,H7-plasma.bam
109530,1,>1000,Normal,H7-plasma.bam
10207,1,>1000,Normal,H7-plasma.bam
2900,1,>1000,Normal,H7-plasma.bam
5630,1,>1000,Normal,H7-plasma.bam
70746,1,>1000,Normal,H7-plasma.bam
5401,1,>1000,Normal,H7-plasma.bam
43999,1,>1000,Normal,H7-plasma.bam
514,1,500-1000,Normal,H7-plasma.bam
4963223,1,>1000,Normal,H7-plasma.bam
4874663,1,>1000,Normal,H7-plasma.bam
4874907,1,>1000,Normal,H7-plasma.bam
4874910,1,>1000,Normal,H7-plasma.bam
4874901,1,>1000,Normal,H7-plasma.bam
4874911,1,>1000,Normal,H7-plasma.bam
4843599,1,>1000,Normal,H7-plasma.bam
40938,1,>1000,Normal,H7-plasma.bam
598,1,500-1000,Normal,H7-plasma.bam
3051,1,>1000,Normal,H7-plasma.bam
61956,1,>1000,Normal,H7-plasma.bam
23741,1,>1000,Normal,H7-plasma.bam
21225,1,>1000,Normal,H7-plasma.bam
44473,1,>1000,Normal,H7-plasma.bam
34550,1,>1000,Normal,H7-plasma.bam
34551,1,>1000,Normal,H7-plasma.bam
19377,1,>1000,Normal,H7-plasma.bam
4930970,1,>1000,Normal,H7-plasma.bam
4931110,1,>1000,Normal,H7-plasma.bam
4933108,1,>1000,Normal,H7-plasma.bam
16928,1,>1000,Normal,H7-plasma.bam
16960,1,>1000,Normal,H7-plasma.bam
17721,1,>1000,Normal,H7-plasma.bam
47653,1,>1000,Normal,H7-plasma.bam
4894329,1,>1000,Normal,H7-plasma.bam
4919281,1,>1000,Normal,H7-plasma.bam
4891618,1,>1000,Normal,H7-plasma.bam
65873,1,>1000,Normal,H7-plasma.bam
4891617,1,>1000,Normal,H7-plasma.bam
33295,1,>1000,Normal,H7-plasma.bam
4891612,1,>1000,Normal,H7-plasma.bam
4891752,1,>1000,Normal,H7-plasma.bam
4897220,1,>1000,Normal,H7-plasma.bam
4919003,1,>1000,Normal,H7-plasma.bam
4880987,1,>1000,Normal,H7-plasma.bam
4896147,1,>1000,Normal,H7-plasma.bam
4933684,1,>1000,Normal,H7-plasma.bam
53932,1,>1000,Normal,H7-plasma.bam
4932804,1,>1000,Normal,H7-plasma.bam
34144,1,>1000,Normal,H7-plasma.bam
15071,1,>1000,Normal,H7-plasma.bam
4904037,1,>1000,Normal,H7-plasma.bam
85012,1,>1000,Normal,H7-plasma.bam
84866,1,>1000,Normal,H7-plasma.bam
2310,1,>1000,Normal,H7-plasma.bam
4862092,1,>1000,Normal,H7-plasma.bam
95382,1,>1000,Normal,H7-plasma.bam
95268,1,>1000,Normal,H7-plasma.bam
4894092,1,>1000,Normal,H7-plasma.bam
4862094,1,>1000,Normal,H7-plasma.bam
62619,1,>1000,Normal,H7-plasma.bam
4894245,1,>1000,Normal,H7-plasma.bam
4862240,1,>1000,Normal,H7-plasma.bam
87031,1,>1000,Normal,H7-plasma.bam
62119,1,>1000,Normal,H7-plasma.bam
4862678,1,>1000,Normal,H7-plasma.bam
4914437,1,>1000,Normal,H7-plasma.bam
71041,1,>1000,Normal,H7-plasma.bam
70926,1,>1000,Normal,H7-plasma.bam
54713,1,>1000,Normal,H7-plasma.bam
54717,1,>1000,Normal,H7-plasma.bam
4878248,1,>1000,Normal,H7-plasma.bam
4922782,1,>1000,Normal,H7-plasma.bam
4922801,1,>1000,Normal,H7-plasma.bam
4922667,1,>1000,Normal,H7-plasma.bam
4923148,1,>1000,Normal,H7-plasma.bam
4923275,1,>1000,Normal,H7-plasma.bam
4923274,1,>1000,Normal,H7-plasma.bam
9440,1,>1000,Normal,H7-plasma.bam
67567,1,>1000,Normal,H7-plasma.bam
4908421,1,>1000,Normal,H7-plasma.bam
3081813,1,>1000,Normal,H7-plasma.bam
3081792,1,>1000,Normal,H7-plasma.bam
92840,1,>1000,Normal,H7-plasma.bam
92853,1,>1000,Normal,H7-plasma.bam
92833,1,>1000,Normal,H7-plasma.bam
3068037,1,>1000,Normal,H7-plasma.bam
27510,1,>1000,Normal,H7-plasma.bam
3051988,1,>1000,Normal,H7-plasma.bam
32086,1,>1000,Normal,H7-plasma.bam
94690,1,>1000,Normal,H7-plasma.bam
3078672,1,>1000,Normal,H7-plasma.bam
3055961,1,>1000,Normal,H7-plasma.bam
3092760,1,>1000,Normal,H7-plasma.bam
3092757,1,>1000,Normal,H7-plasma.bam
2763,1,>1000,Normal,H7-plasma.bam
3092743,1,>1000,Normal,H7-plasma.bam
33227,1,>1000,Normal,H7-plasma.bam
3074250,1,>1000,Normal,H7-plasma.bam
3078704,1,>1000,Normal,H7-plasma.bam
81868,1,>1000,Normal,H7-plasma.bam
64229,1,>1000,Normal,H7-plasma.bam
64209,1,>1000,Normal,H7-plasma.bam
92572,1,>1000,Normal,H7-plasma.bam
103641,1,>1000,Normal,H7-plasma.bam
3084656,1,>1000,Normal,H7-plasma.bam
45412,1,>1000,Normal,H7-plasma.bam
3064885,1,>1000,Normal,H7-plasma.bam
3104489,1,>1000,Normal,H7-plasma.bam
3088576,1,>1000,Normal,H7-plasma.bam
3092761,1,>1000,Normal,H7-plasma.bam
55057,1,>1000,Normal,H7-plasma.bam
19134,1,>1000,Normal,H7-plasma.bam
19213,1,>1000,Normal,H7-plasma.bam
3036560,1,>1000,Normal,H7-plasma.bam
36279,1,>1000,Normal,H7-plasma.bam
3041354,1,>1000,Normal,H7-plasma.bam
3041355,1,>1000,Normal,H7-plasma.bam
3041495,1,>1000,Normal,H7-plasma.bam
14433,1,>1000,Normal,H7-plasma.bam
14445,1,>1000,Normal,H7-plasma.bam
75331,1,>1000,Normal,H7-plasma.bam
75321,1,>1000,Normal,H7-plasma.bam
75334,1,>1000,Normal,H7-plasma.bam
75322,1,>1000,Normal,H7-plasma.bam
75230,1,>1000,Normal,H7-plasma.bam
3033190,1,>1000,Normal,H7-plasma.bam
3040589,1,>1000,Normal,H7-plasma.bam
67589,1,>1000,Normal,H7-plasma.bam
3037334,1,>1000,Normal,H7-plasma.bam
3053259,1,>1000,Normal,H7-plasma.bam
35805,1,>1000,Normal,H7-plasma.bam
35842,1,>1000,Normal,H7-plasma.bam
73575,1,>1000,Normal,H7-plasma.bam
24940,1,>1000,Normal,H7-plasma.bam
3045816,1,>1000,Normal,H7-plasma.bam
3045809,1,>1000,Normal,H7-plasma.bam
3059052,1,>1000,Normal,H7-plasma.bam
13293,1,>1000,Normal,H7-plasma.bam
328085,1,>1000,Normal,H7-plasma.bam
3033065,1,>1000,Normal,H7-plasma.bam
324159,1,>1000,Normal,H7-plasma.bam
324141,1,>1000,Normal,H7-plasma.bam
324169,1,>1000,Normal,H7-plasma.bam
324139,1,>1000,Normal,H7-plasma.bam
324155,1,>1000,Normal,H7-plasma.bam
234986,1,>1000,Normal,H7-plasma.bam
324263,1,>1000,Normal,H7-plasma.bam
234940,1,>1000,Normal,H7-plasma.bam
234928,1,>1000,Normal,H7-plasma.bam
311245,1,>1000,Normal,H7-plasma.bam
3282048,1,>1000,Normal,H7-plasma.bam
3282071,1,>1000,Normal,H7-plasma.bam
3282047,1,>1000,Normal,H7-plasma.bam
3303072,1,>1000,Normal,H7-plasma.bam
3103090,1,>1000,Normal,H7-plasma.bam
3293556,1,>1000,Normal,H7-plasma.bam
3283723,1,>1000,Normal,H7-plasma.bam
44963,1,>1000,Normal,H7-plasma.bam
3363221,1,>1000,Normal,H7-plasma.bam
3331456,1,>1000,Normal,H7-plasma.bam
3357627,1,>1000,Normal,H7-plasma.bam
3335479,1,>1000,Normal,H7-plasma.bam
3387786,1,>1000,Normal,H7-plasma.bam
3373642,1,>1000,Normal,H7-plasma.bam
3373640,1,>1000,Normal,H7-plasma.bam
3337645,1,>1000,Normal,H7-plasma.bam
3337384,1,>1000,Normal,H7-plasma.bam
3337511,1,>1000,Normal,H7-plasma.bam
350396,1,>1000,Normal,H7-plasma.bam
3303206,1,>1000,Normal,H7-plasma.bam
3103060,1,>1000,Normal,H7-plasma.bam
3080946,1,>1000,Normal,H7-plasma.bam
3080940,1,>1000,Normal,H7-plasma.bam
3080943,1,>1000,Normal,H7-plasma.bam
98854,1,>1000,Normal,H7-plasma.bam
98822,1,>1000,Normal,H7-plasma.bam
109404,1,>1000,Normal,H7-plasma.bam
54175,1,>1000,Normal,H7-plasma.bam
86883,1,>1000,Normal,H7-plasma.bam
87114,1,>1000,Normal,H7-plasma.bam
113228,1,>1000,Normal,H7-plasma.bam
113229,1,>1000,Normal,H7-plasma.bam
113236,1,>1000,Normal,H7-plasma.bam
113243,1,>1000,Normal,H7-plasma.bam
311130,1,>1000,Normal,H7-plasma.bam
113272,1,>1000,Normal,H7-plasma.bam
113262,1,>1000,Normal,H7-plasma.bam
113264,1,>1000,Normal,H7-plasma.bam
113263,1,>1000,Normal,H7-plasma.bam
80092,1,>1000,Normal,H7-plasma.bam
80025,1,>1000,Normal,H7-plasma.bam
214088,1,>1000,Normal,H7-plasma.bam
116080,1,>1000,Normal,H7-plasma.bam
111392,1,>1000,Normal,H7-plasma.bam
3074586,1,>1000,Normal,H7-plasma.bam
3279515,1,>1000,Normal,H7-plasma.bam
3317075,1,>1000,Normal,H7-plasma.bam
3280952,1,>1000,Normal,H7-plasma.bam
3294709,1,>1000,Normal,H7-plasma.bam
324132,1,>1000,Normal,H7-plasma.bam
113261,1,>1000,Normal,H7-plasma.bam
6498,1,>1000,Normal,H7-plasma.bam
21644,1,>1000,Normal,H7-plasma.bam
13476,1,>1000,Normal,H7-plasma.bam
4892,1,>1000,Normal,H7-plasma.bam
74195,1,>1000,Normal,H7-plasma.bam
74179,1,>1000,Normal,H7-plasma.bam
74178,1,>1000,Normal,H7-plasma.bam
4788,1,>1000,Normal,H7-plasma.bam
13486,1,>1000,Normal,H7-plasma.bam
74190,1,>1000,Normal,H7-plasma.bam
74177,1,>1000,Normal,H7-plasma.bam
3007168,1,>1000,Normal,H7-plasma.bam
3007169,1,>1000,Normal,H7-plasma.bam
348600,1,>1000,Normal,H7-plasma.bam
55015,1,>1000,Normal,H7-plasma.bam
86554,1,>1000,Normal,H7-plasma.bam
86617,1,>1000,Normal,H7-plasma.bam
86611,1,>1000,Normal,H7-plasma.bam
6197,1,>1000,Normal,H7-plasma.bam
379479,1,>1000,Normal,H7-plasma.bam
3023562,1,>1000,Normal,H7-plasma.bam
3919,1,>1000,Normal,H7-plasma.bam
3014623,1,>1000,Normal,H7-plasma.bam
3014794,1,>1000,Normal,H7-plasma.bam
3019871,1,>1000,Normal,H7-plasma.bam
3020022,1,>1000,Normal,H7-plasma.bam
37841,1,>1000,Normal,H7-plasma.bam
3033617,1,>1000,Normal,H7-plasma.bam
368904,1,>1000,Normal,H7-plasma.bam
348481,1,>1000,Normal,H7-plasma.bam
383992,1,>1000,Normal,H7-plasma.bam
5004,1,>1000,Normal,H7-plasma.bam
5000,1,>1000,Normal,H7-plasma.bam
7983,1,>1000,Normal,H7-plasma.bam
2981878,1,>1000,Normal,H7-plasma.bam
7552,1,>1000,Normal,H7-plasma.bam
377148,1,>1000,Normal,H7-plasma.bam
7756,1,>1000,Normal,H7-plasma.bam
6830,1,>1000,Normal,H7-plasma.bam
6998,1,>1000,Normal,H7-plasma.bam
2968490,1,>1000,Normal,H7-plasma.bam
2968466,1,>1000,Normal,H7-plasma.bam
2994991,1,>1000,Normal,H7-plasma.bam
27612,1,>1000,Normal,H7-plasma.bam
6320,1,>1000,Normal,H7-plasma.bam
3569,1,>1000,Normal,H7-plasma.bam
3574,1,>1000,Normal,H7-plasma.bam
3573,1,>1000,Normal,H7-plasma.bam
3568,1,>1000,Normal,H7-plasma.bam
16576,1,>1000,Normal,H7-plasma.bam
3422,1,>1000,Normal,H7-plasma.bam
388343,1,>1000,Normal,H7-plasma.bam
388494,1,>1000,Normal,H7-plasma.bam
40243,1,>1000,Normal,H7-plasma.bam
40101,1,>1000,Normal,H7-plasma.bam
3014217,1,>1000,Normal,H7-plasma.bam
2994623,1,>1000,Normal,H7-plasma.bam
21597,1,>1000,Normal,H7-plasma.bam
6328,1,>1000,Normal,H7-plasma.bam
55060,1,>1000,Normal,H7-plasma.bam
268313,1,>1000,Normal,H7-plasma.bam
268189,1,>1000,Normal,H7-plasma.bam
3012743,1,>1000,Normal,H7-plasma.bam
3044552,1,>1000,Normal,H7-plasma.bam
56777,1,>1000,Normal,H7-plasma.bam
56659,1,>1000,Normal,H7-plasma.bam
56677,1,>1000,Normal,H7-plasma.bam
56634,1,>1000,Normal,H7-plasma.bam
54426,1,>1000,Normal,H7-plasma.bam
54391,1,>1000,Normal,H7-plasma.bam
3039308,1,>1000,Normal,H7-plasma.bam
3039305,1,>1000,Normal,H7-plasma.bam
3039435,1,>1000,Normal,H7-plasma.bam
51416,1,>1000,Normal,H7-plasma.bam
6808,1,>1000,Normal,H7-plasma.bam
3017194,1,>1000,Normal,H7-plasma.bam
19681,1,>1000,Normal,H7-plasma.bam
19815,1,>1000,Normal,H7-plasma.bam
28297,1,>1000,Normal,H7-plasma.bam
28313,1,>1000,Normal,H7-plasma.bam
28171,1,>1000,Normal,H7-plasma.bam
45917,1,>1000,Normal,H7-plasma.bam
3023594,1,>1000,Normal,H7-plasma.bam
54790,1,>1000,Normal,H7-plasma.bam
32959,1,>1000,Normal,H7-plasma.bam
33116,1,>1000,Normal,H7-plasma.bam
19157,1,>1000,Normal,H7-plasma.bam
19144,1,>1000,Normal,H7-plasma.bam
19149,1,>1000,Normal,H7-plasma.bam
51421,1,>1000,Normal,H7-plasma.bam
6868,1,>1000,Normal,H7-plasma.bam
6615,1,>1000,Normal,H7-plasma.bam
6493,1,>1000,Normal,H7-plasma.bam
35190,1,>1000,Normal,H7-plasma.bam
79341,1,>1000,Normal,H7-plasma.bam
2990924,1,>1000,Normal,H7-plasma.bam
33269,1,>1000,Normal,H7-plasma.bam
36352,1,>1000,Normal,H7-plasma.bam
2992263,1,>1000,Normal,H7-plasma.bam
21782,1,>1000,Normal,H7-plasma.bam
1110,1,>1000,Normal,H7-plasma.bam
38446,1,>1000,Normal,H7-plasma.bam
38448,1,>1000,Normal,H7-plasma.bam
39663,1,>1000,Normal,H7-plasma.bam
51427,1,>1000,Normal,H7-plasma.bam
3013864,1,>1000,Normal,H7-plasma.bam
3047936,1,>1000,Normal,H7-plasma.bam
350823,1,>1000,Normal,H7-plasma.bam
3455374,1,>1000,Normal,H7-plasma.bam
3013967,1,>1000,Normal,H7-plasma.bam
22400,1,>1000,Normal,H7-plasma.bam
22368,1,>1000,Normal,H7-plasma.bam
22361,1,>1000,Normal,H7-plasma.bam
3002542,1,>1000,Normal,H7-plasma.bam
21912,1,>1000,Normal,H7-plasma.bam
3007463,1,>1000,Normal,H7-plasma.bam
3007599,1,>1000,Normal,H7-plasma.bam
3024311,1,>1000,Normal,H7-plasma.bam
3033597,1,>1000,Normal,H7-plasma.bam
3033697,1,>1000,Normal,H7-plasma.bam
39816,1,>1000,Normal,H7-plasma.bam
19608763,1,>1000,Normal,H7-plasma.bam
24853148,1,>1000,Normal,H7-plasma.bam
1476151,1,>1000,Normal,H7-plasma.bam
21555711,1,>1000,Normal,H7-plasma.bam
932,1,500-1000,Normal,H7-plasma.bam
22592952,1,>1000,Normal,H7-plasma.bam
22593762,1,>1000,Normal,H7-plasma.bam
667,1,500-1000,Normal,H7-plasma.bam
22593772,1,>1000,Normal,H7-plasma.bam
22593799,1,>1000,Normal,H7-plasma.bam
19591698,1,>1000,Normal,H7-plasma.bam
20293,1,>1000,Normal,H7-plasma.bam
19093,1,>1000,Normal,H7-plasma.bam
19086,1,>1000,Normal,H7-plasma.bam
3352359,1,>1000,Normal,H7-plasma.bam
19597332,1,>1000,Normal,H7-plasma.bam
19594305,1,>1000,Normal,H7-plasma.bam
13756,1,>1000,Normal,H7-plasma.bam
14690,1,>1000,Normal,H7-plasma.bam
1927,1,>1000,Normal,H7-plasma.bam
9566,1,>1000,Normal,H7-plasma.bam
12356,1,>1000,Normal,H7-plasma.bam
12182,1,>1000,Normal,H7-plasma.bam
265,1,200-500,Normal,H7-plasma.bam
19613752,1,>1000,Normal,H7-plasma.bam
651,1,500-1000,Normal,H7-plasma.bam
19608981,1,>1000,Normal,H7-plasma.bam
19608945,1,>1000,Normal,H7-plasma.bam
1689,1,>1000,Normal,H7-plasma.bam
18977,1,>1000,Normal,H7-plasma.bam
21516989,1,>1000,Normal,H7-plasma.bam
21516873,1,>1000,Normal,H7-plasma.bam
21516850,1,>1000,Normal,H7-plasma.bam
21516995,1,>1000,Normal,H7-plasma.bam
21223358,1,>1000,Normal,H7-plasma.bam
23008220,1,>1000,Normal,H7-plasma.bam
628,1,500-1000,Normal,H7-plasma.bam
22992563,1,>1000,Normal,H7-plasma.bam
22593615,1,>1000,Normal,H7-plasma.bam
22592747,1,>1000,Normal,H7-plasma.bam
22592763,1,>1000,Normal,H7-plasma.bam
22567361,1,>1000,Normal,H7-plasma.bam
22571209,1,>1000,Normal,H7-plasma.bam
943262,1,>1000,Normal,H7-plasma.bam
19611132,1,>1000,Normal,H7-plasma.bam
17112501,1,>1000,Normal,H7-plasma.bam
17075551,1,>1000,Normal,H7-plasma.bam
19619755,1,>1000,Normal,H7-plasma.bam
19618323,1,>1000,Normal,H7-plasma.bam
19595817,1,>1000,Normal,H7-plasma.bam
19611881,1,>1000,Normal,H7-plasma.bam
19611902,1,>1000,Normal,H7-plasma.bam
19614507,1,>1000,Normal,H7-plasma.bam
19611826,1,>1000,Normal,H7-plasma.bam
19606869,1,>1000,Normal,H7-plasma.bam
19609870,1,>1000,Normal,H7-plasma.bam
19609654,1,>1000,Normal,H7-plasma.bam
19596603,1,>1000,Normal,H7-plasma.bam
19608961,1,>1000,Normal,H7-plasma.bam
943177,1,>1000,Normal,H7-plasma.bam
626,1,500-1000,Normal,H7-plasma.bam
25456378,1,>1000,Normal,H7-plasma.bam
11229273,1,>1000,Normal,H7-plasma.bam
101677987,1,>1000,Normal,H7-plasma.bam
6007,1,>1000,Normal,H7-plasma.bam
6161,1,>1000,Normal,H7-plasma.bam
8427350,1,>1000,Normal,H7-plasma.bam
1216,1,>1000,Normal,H7-plasma.bam
36710670,1,>1000,Normal,H7-plasma.bam
4530,1,>1000,Normal,H7-plasma.bam
4557,1,>1000,Normal,H7-plasma.bam
6569,1,>1000,Normal,H7-plasma.bam
1355,1,>1000,Normal,H7-plasma.bam
1523,1,>1000,Normal,H7-plasma.bam
13937,1,>1000,Normal,H7-plasma.bam
6568,1,>1000,Normal,H7-plasma.bam
6547,1,>1000,Normal,H7-plasma.bam
103323,1,>1000,Normal,H7-plasma.bam
103345,1,>1000,Normal,H7-plasma.bam
273810,1,>1000,Normal,H7-plasma.bam
470210,1,>1000,Normal,H7-plasma.bam
566154,1,>1000,Normal,H7-plasma.bam
1338084,1,>1000,Normal,H7-plasma.bam
1767679,1,>1000,Normal,H7-plasma.bam
1767668,1,>1000,Normal,H7-plasma.bam
1866407,1,>1000,Normal,H7-plasma.bam
1960,1,>1000,Normal,H7-plasma.bam
1819,1,>1000,Normal,H7-plasma.bam
1220,1,>1000,Normal,H7-plasma.bam
1535,1,>1000,Normal,H7-plasma.bam
14095,1,>1000,Normal,H7-plasma.bam
12628,1,>1000,Normal,H7-plasma.bam
1770,1,>1000,Normal,H7-plasma.bam
2380,1,>1000,Normal,H7-plasma.bam
4710,1,>1000,Normal,H7-plasma.bam
4870,1,>1000,Normal,H7-plasma.bam
226493,1,>1000,Normal,H7-plasma.bam
231907,1,>1000,Normal,H7-plasma.bam
2626223,1,>1000,Normal,H7-plasma.bam
2626512,1,>1000,Normal,H7-plasma.bam
2629242,1,>1000,Normal,H7-plasma.bam
2629430,1,>1000,Normal,H7-plasma.bam
2629237,1,>1000,Normal,H7-plasma.bam
27280380,1,>1000,Normal,H7-plasma.bam
476491,1,>1000,Normal,H7-plasma.bam
44281954,1,>1000,Normal,H7-plasma.bam
15479956,1,>1000,Normal,H7-plasma.bam
7990,1,>1000,Normal,H7-plasma.bam
90032844,1,>1000,Normal,H7-plasma.bam
63297314,1,>1000,Normal,H7-plasma.bam
63297274,1,>1000,Normal,H7-plasma.bam
5085031,1,>1000,Normal,H7-plasma.bam
520,1,500-1000,Normal,H7-plasma.bam
1365,1,>1000,Normal,H7-plasma.bam
82561022,1,>1000,Normal,H7-plasma.bam
1002,1,>1000,Normal,H7-plasma.bam
847,1,500-1000,Normal,H7-plasma.bam
885,1,500-1000,Normal,H7-plasma.bam
1097,1,>1000,Normal,H7-plasma.bam
476436,1,>1000,Normal,H7-plasma.bam
74385958,1,>1000,Normal,H7-plasma.bam
3346295,1,>1000,Normal,H7-plasma.bam
3346280,1,>1000,Normal,H7-plasma.bam
3346282,1,>1000,Normal,H7-plasma.bam
3346293,1,>1000,Normal,H7-plasma.bam
3346306,1,>1000,Normal,H7-plasma.bam
3383389,1,>1000,Normal,H7-plasma.bam
3346394,1,>1000,Normal,H7-plasma.bam
